festival,year,period,transactions,revenue,avg_order_value,unique_customers,days,daily_revenue,daily_transactions
Diwali (Nov),2017,Before,2089,102443096.31,49039.29933460986,2055,7,14634728.044285715,298.42857142857144
Diwali (Nov),2017,During,2248,148543513.04000002,66078.07519572954,2197,9,16504834.782222224,249.77777777777777
Diwali (Nov),2017,After,1805,144022343.26999998,79790.77189473683,1773,7,20574620.467142854,257.85714285714283
Diwali (Nov),2018,Before,2768,143693562.19,51912.41408598266,2696,7,20527651.741428573,395.42857142857144
Diwali (Nov),2018,During,2907,186892318.19,64290.44313381493,2829,9,20765813.13222222,323.0
Diwali (Nov),2018,After,2274,187133304.44,82292.57011433598,2235,7,26733329.205714285,324.85714285714283
Diwali (Nov),2019,Before,3226,160176081.76999998,49651.606252324855,3160,7,22882297.395714283,460.85714285714283
Diwali (Nov),2019,During,3634,225127236.54000002,61950.25771601542,3543,9,25014137.393333334,403.77777777777777
Diwali (Nov),2019,After,2781,230711760.49,82960.00017619562,2731,7,32958822.92714286,397.2857142857143
Diwali (Nov),2020,Before,3248,185260704.39,57038.39420874384,3169,7,26465814.91285714,464.0
Diwali (Nov),2020,During,3775,285355977.81000006,75590.98749933776,3699,9,31706219.756666675,419.44444444444446
Diwali (Nov),2020,After,3097,287904964.06000006,92962.53279302553,3041,7,41129280.580000006,442.42857142857144
Diwali (Nov),2021,Before,3142,174308287.91000003,55476.85802355189,3087,7,24901183.98714286,448.85714285714283
Diwali (Nov),2021,During,3640,262276724.82000002,72054.04528021978,3558,9,29141858.313333336,404.44444444444446
Diwali (Nov),2021,After,2980,271702542.43,91175.34980872483,2929,7,38814648.91857143,425.7142857142857
Diwali (Nov),2022,Before,2986,136025713.83,45554.49224045546,2939,7,19432244.832857143,426.57142857142856
Diwali (Nov),2022,During,3539,206636450.84,58388.372658943204,3470,9,22959605.64888889,393.22222222222223
Diwali (Nov),2022,After,2800,200862538.61,71736.62093214286,2748,7,28694648.372857146,400.0
Diwali (Nov),2023,Before,2929,119863432.03,40922.9880607716,2888,7,17123347.432857145,418.42857142857144
Diwali (Nov),2023,During,3539,195156774.44,55144.609901102005,3466,9,21684086.04888889,393.22222222222223
Diwali (Nov),2023,After,2517,176456101.64,70105.72174811283,2477,7,25208014.52,359.57142857142856
Diwali (Nov),2024,Before,2844,106817012.46,37558.72449367088,2782,7,15259573.208571428,406.2857142857143
Diwali (Nov),2024,During,3294,168529199.0,51162.47692774742,3224,9,18725466.555555556,366.0
Diwali (Nov),2024,After,2561,163807605.73,63962.36069113627,2527,7,23401086.532857142,365.85714285714283
Diwali (Nov),2025,Before,1754,62034061.47,35367.19582098062,1714,7,8862008.781428572,250.57142857142858
Diwali (Nov),2025,During,2083,91879798.23,44109.3606481037,2037,9,10208866.47,231.44444444444446
Diwali (Nov),2025,After,1680,91832992.44,54662.4955,1655,7,13118998.92,240.0
Amazon Prime Day,2015,Before,620,29753011.43,47988.72811290323,600,7,4250430.204285714,88.57142857142857
Amazon Prime Day,2015,During,179,8021787.33,44814.4543575419,174,2,4010893.665,89.5
Amazon Prime Day,2015,After,610,40037934.75,65635.95860655738,597,7,5719704.964285715,87.14285714285714
Amazon Prime Day,2016,Before,1012,47712343.26,47146.58424901185,991,7,6816049.037142857,144.57142857142858
Amazon Prime Day,2016,During,296,13669985.39,46182.38307432432,294,2,6834992.695,148.0
Amazon Prime Day,2016,After,975,66409378.92,68112.18350769232,965,7,9487054.131428571,139.28571428571428
Amazon Prime Day,2017,Before,1489,72860510.74000001,48932.51224983211,1462,7,10408644.391428573,212.71428571428572
Amazon Prime Day,2017,During,404,20805258.26,51498.164009901,404,2,10402629.13,202.0
Amazon Prime Day,2017,After,1343,100890835.35,75123.4812732688,1324,7,14412976.478571428,191.85714285714286
Amazon Prime Day,2018,Before,1875,100836404.41,53779.41568533333,1852,7,14405200.629999999,267.85714285714283
Amazon Prime Day,2018,During,514,26581200.15,51714.39717898832,513,2,13290600.075,257.0
Amazon Prime Day,2018,After,1811,147904739.57999998,81670.20407509663,1786,7,21129248.51142857,258.7142857142857
Amazon Prime Day,2019,Before,2285,115637333.08,50607.147956236324,2249,7,16519619.01142857,326.42857142857144
Amazon Prime Day,2019,During,637,34732774.760000005,54525.54907378337,632,2,17366387.380000003,318.5
Amazon Prime Day,2019,After,2287,176936941.51999998,77366.39331875819,2245,7,25276705.93142857,326.7142857142857
Amazon Prime Day,2020,Before,2590,158593538.57,61233.02647490347,2552,7,22656219.795714285,370.0
Amazon Prime Day,2020,During,730,41573162.25,56949.537328767125,725,2,20786581.125,365.0
Amazon Prime Day,2020,After,2618,233513171.2,89195.2525592055,2582,7,33359024.457142856,374.0
Amazon Prime Day,2021,Before,2521,145185215.75,57590.32754859183,2474,7,20740745.10714286,360.14285714285717
Amazon Prime Day,2021,During,736,44104408.629999995,59924.4682472826,732,2,22052204.314999998,368.0
Amazon Prime Day,2021,After,2535,217408043.45999998,85762.54179881656,2496,7,31058291.92285714,362.14285714285717
Amazon Prime Day,2022,Before,2442,110623196.59,45300.24430384931,2404,7,15803313.798571428,348.85714285714283
Amazon Prime Day,2022,During,705,33713697.7,47820.847801418444,703,2,16856848.85,352.5
Amazon Prime Day,2022,After,2452,166762721.14,68010.89769168025,2416,7,23823245.877142854,350.2857142857143
Amazon Prime Day,2023,Before,2349,104137999.97999999,44332.90761174967,2321,7,14876857.139999999,335.57142857142856
Amazon Prime Day,2023,During,711,29153749.29,41003.86679324894,709,2,14576874.645,355.5
Amazon Prime Day,2023,After,2304,147439740.48,63992.94291666666,2276,7,21062820.068571426,329.14285714285717
Amazon Prime Day,2024,Before,2304,93573408.13,40613.45838975694,2271,7,13367629.732857142,329.14285714285717
Amazon Prime Day,2024,During,639,24128153.72,37759.23899843505,635,2,12064076.86,319.5
Amazon Prime Day,2024,After,2234,136322846.75,61021.86515219337,2200,7,19474692.39285714,319.14285714285717
Amazon Prime Day,2025,Before,1438,52380174.65,36425.71255215577,1419,7,7482882.092857143,205.42857142857142
Amazon Prime Day,2025,During,398,13591530.02,34149.57291457286,394,2,6795765.01,199.0
Amazon Prime Day,2025,After,1428,75554546.71000001,52909.34643557423,1402,7,10793506.672857145,204.0
Independence Day Sale,2015,Before,548,39054779.49000001,71267.84578467155,533,7,5579254.212857144,78.28571428571429
Independence Day Sale,2015,During,466,32136329.290000003,68962.08002145923,458,6,5356054.881666667,77.66666666666667
Independence Day Sale,2015,After,552,38937729.25,70539.36458333333,539,7,5562532.75,78.85714285714286
Independence Day Sale,2016,Before,920,68987651.06,74986.57723913043,908,7,9855378.722857144,131.42857142857142
Independence Day Sale,2016,During,809,63299700.849999994,78244.37682323856,800,6,10549950.141666666,134.83333333333334
Independence Day Sale,2016,After,910,67849690.14,74560.09905494505,898,7,9692812.877142858,130.0
Independence Day Sale,2017,Before,1285,103965852.27,80907.2780311284,1265,7,14852264.61,183.57142857142858
Independence Day Sale,2017,During,1086,85692024.77000001,78906.10015653777,1074,6,14282004.128333336,181.0
Independence Day Sale,2017,After,1269,98349817.87,77501.82653270292,1258,7,14049973.981428573,181.28571428571428
Independence Day Sale,2018,Before,1651,129195958.27,78253.15461538461,1634,7,18456565.467142858,235.85714285714286
Independence Day Sale,2018,During,1385,112053763.47,80905.24438267147,1373,6,18675627.245,230.83333333333334
Independence Day Sale,2018,After,1590,131896947.78999999,82954.05521383647,1566,7,18842421.11285714,227.14285714285714
Independence Day Sale,2019,Before,2014,161093556.39000002,79986.87010427011,1988,7,23013365.198571432,287.7142857142857
Independence Day Sale,2019,During,1718,134675416.64999998,78390.81295110592,1700,6,22445902.774999995,286.3333333333333
Independence Day Sale,2019,After,1918,157628723.18,82183.90155370177,1890,7,22518389.025714286,274.0
Independence Day Sale,2020,Before,2265,205878318.5,90895.50485651214,2231,7,29411188.35714286,323.57142857142856
Independence Day Sale,2020,During,2036,195431425.17000002,95987.92984774067,2013,6,32571904.195000004,339.3333333333333
Independence Day Sale,2020,After,2348,219251610.95,93378.02851362861,2319,7,31321658.707142856,335.42857142857144
Independence Day Sale,2021,Before,2266,199912326.21,88222.5623168579,2237,7,28558903.744285714,323.7142857142857
Independence Day Sale,2021,During,1983,178556302.54,90043.5212002017,1965,6,29759383.756666664,330.5
Independence Day Sale,2021,After,2252,194027281.38,86157.76260213144,2219,7,27718183.054285713,321.7142857142857
Independence Day Sale,2022,Before,2206,160700524.11,72847.0190888486,2176,7,22957217.73,315.14285714285717
Independence Day Sale,2022,During,1858,134793250.18,72547.49740581271,1839,6,22465541.69666667,309.6666666666667
Independence Day Sale,2022,After,2197,160663016.10999998,73128.36418297677,2161,7,22951859.444285713,313.85714285714283
Independence Day Sale,2023,Before,2123,146378559.06,68948.92089495997,2082,7,20911222.722857144,303.2857142857143
Independence Day Sale,2023,During,1916,135955580.64999998,70958.02747912316,1896,6,22659263.441666663,319.3333333333333
Independence Day Sale,2023,After,2075,137832853.23,66425.47143614458,2046,7,19690407.604285713,296.42857142857144
Independence Day Sale,2024,Before,1942,123181885.12,63430.4248815654,1917,7,17597412.16,277.42857142857144
Independence Day Sale,2024,During,1705,108573874.56,63679.691824046924,1688,6,18095645.76,284.1666666666667
Independence Day Sale,2024,After,1995,127270665.58000001,63794.819839599004,1968,7,18181523.654285718,285.0
Independence Day Sale,2025,Before,1317,74409456.69999999,56499.20782080485,1300,7,10629922.385714283,188.14285714285714
Independence Day Sale,2025,During,1134,63911017.64,56358.922081128745,1122,6,10651836.273333333,189.0
Independence Day Sale,2025,After,1211,72463840.33,59838.018439306354,1191,7,10351977.19,173.0
Republic Day Sale,2015,Before,576,43329347.46,75224.5615625,567,7,6189906.78,82.28571428571429
Republic Day Sale,2015,During,554,25373919.51,45801.29875451264,543,7,3624845.6442857147,79.14285714285714
Republic Day Sale,2015,After,523,37943652.83,72550.00541108986,513,7,5420521.832857142,74.71428571428571
Republic Day Sale,2016,Before,881,64075774.70999999,72730.73179341656,860,7,9153682.10142857,125.85714285714286
Republic Day Sale,2016,During,931,44001558.9,47262.68410311493,916,7,6285936.985714286,133.0
Republic Day Sale,2016,After,881,65200761.1,74007.67434733258,866,7,9314394.442857143,125.85714285714286
Republic Day Sale,2017,Before,1199,100354345.56,83698.36994161802,1183,7,14336335.08,171.28571428571428
Republic Day Sale,2017,During,1297,64144580.56,49456.11454124904,1278,7,9163511.50857143,185.28571428571428
Republic Day Sale,2017,After,1334,103599106.52000001,77660.49964017991,1324,7,14799872.360000001,190.57142857142858
Republic Day Sale,2018,Before,1637,136208012.60000002,83205.87208307882,1620,7,19458287.514285717,233.85714285714286
Republic Day Sale,2018,During,1623,83012339.12,51147.46711028959,1601,7,11858905.58857143,231.85714285714286
Republic Day Sale,2018,After,1615,131876051.44999999,81656.99780185758,1595,7,18839435.92142857,230.71428571428572
Republic Day Sale,2019,Before,1990,162428130.75,81622.17625628141,1970,7,23204018.67857143,284.2857142857143
Republic Day Sale,2019,During,1998,102221595.06,51161.95948948949,1968,7,14603085.00857143,285.42857142857144
Republic Day Sale,2019,After,1935,152211818.25,78662.43837209302,1911,7,21744545.464285713,276.42857142857144
Republic Day Sale,2020,Before,2595,244596216.06,94256.73065895954,2547,7,34942316.58,370.7142857142857
Republic Day Sale,2020,During,2658,147533469.31,55505.44368322047,2620,7,21076209.901428573,379.7142857142857
Republic Day Sale,2020,After,2684,257776970.88,96042.09049180328,2639,7,36825281.55428571,383.42857142857144
Republic Day Sale,2021,Before,2532,228853411.03,90384.44353475513,2496,7,32693344.432857145,361.7142857142857
Republic Day Sale,2021,During,2528,145023851.74,57367.02996044304,2491,7,20717693.105714288,361.14285714285717
Republic Day Sale,2021,After,2565,232325556.36,90575.2656374269,2529,7,33189365.194285717,366.42857142857144
Republic Day Sale,2022,Before,2430,184527362.76,75937.18632098765,2394,7,26361051.82285714,347.14285714285717
Republic Day Sale,2022,During,2493,105665455.57,42384.85983553951,2470,7,15095065.08142857,356.14285714285717
Republic Day Sale,2022,After,2474,177935657.19,71922.25432093775,2440,7,25419379.598571427,353.42857142857144
Republic Day Sale,2023,Before,2483,162714230.57,65531.305102698345,2435,7,23244890.08142857,354.7142857142857
Republic Day Sale,2023,During,2289,97670721.61,42669.60314984709,2248,7,13952960.23,327.0
Republic Day Sale,2023,After,2319,160820256.29000002,69348.96778352739,2283,7,22974322.32714286,331.2857142857143
Republic Day Sale,2024,Before,2205,145863516.47,66151.25463492064,2170,7,20837645.21,315.0
Republic Day Sale,2024,During,2315,93458518.35,40370.850259179264,2291,7,13351216.907142857,330.7142857142857
Republic Day Sale,2024,After,2268,140451021.60000002,61927.25820105821,2231,7,20064431.65714286,324.0
Republic Day Sale,2025,Before,1423,78373194.30000001,55076.032536893894,1402,7,11196170.614285717,203.28571428571428
Republic Day Sale,2025,During,1414,47982988.980000004,33934.2213437058,1396,7,6854712.711428572,202.0
Republic Day Sale,2025,After,1421,81342247.09,57242.96065446868,1392,7,11620321.012857143,203.0
Christmas Sale,2015,Before,814,61563012.88,75630.23695331695,791,7,8794716.125714285,116.28571428571429
Christmas Sale,2015,During,665,48774101.94,73344.51419548872,641,6,8129016.989999999,110.83333333333333
Christmas Sale,2015,After,852,65756714.269999996,77179.24210093897,830,7,9393816.324285714,121.71428571428571
Christmas Sale,2016,Before,1343,98722375.06,73508.84218912882,1310,7,14103196.437142858,191.85714285714286
Christmas Sale,2016,During,1130,87065797.39,77049.37822123893,1105,6,14510966.231666667,188.33333333333334
Christmas Sale,2016,After,1345,99167111.94,73730.19475092937,1318,7,14166730.277142856,192.14285714285714
Christmas Sale,2017,Before,1875,153337838.68,81780.18062933334,1838,7,21905405.525714286,267.85714285714283
Christmas Sale,2017,During,1596,129247656.06,80982.24063909774,1565,6,21541276.01,266.0
Christmas Sale,2017,After,1816,153794699.69,84688.71128303965,1787,7,21970671.384285714,259.42857142857144
Christmas Sale,2018,Before,2470,204664966.97,82860.31051417004,2416,7,29237852.424285714,352.85714285714283
Christmas Sale,2018,During,2046,173258115.05,84681.38565493647,2019,6,28876352.508333337,341.0
Christmas Sale,2018,After,2418,197359193.17000002,81620.84084780811,2373,7,28194170.452857144,345.42857142857144
Christmas Sale,2019,Before,2993,241035713.87,80533.14863681924,2936,7,34433673.410000004,427.57142857142856
Christmas Sale,2019,During,2602,208151847.05,79996.86666026134,2558,6,34691974.50833333,433.6666666666667
Christmas Sale,2019,After,2974,249515639.65,83899.00458977808,2923,7,35645091.37857143,424.85714285714283
Christmas Sale,2020,Before,3846,358281403.19,93156.8911050442,3780,7,51183057.59857143,549.4285714285714
Christmas Sale,2020,During,3284,302892146.71,92232.68779232643,3214,6,50482024.45166666,547.3333333333334
Christmas Sale,2020,After,3627,333941935.01,92071.1152495175,3561,7,47705990.71571428,518.1428571428571
Christmas Sale,2021,Before,3631,320666169.19,88313.45887909667,3549,7,45809452.74142857,518.7142857142857
Christmas Sale,2021,During,3169,286407031.84000003,90377.73172609656,3108,6,47734505.30666667,528.1666666666666
Christmas Sale,2021,After,3491,302604484.62,86681.31899742194,3437,7,43229212.08857143,498.7142857142857
Christmas Sale,2022,Before,3553,258340015.53,72710.38996059667,3470,7,36905716.504285716,507.57142857142856
Christmas Sale,2022,During,2991,218089298.89000002,72915.17849882983,2935,6,36348216.48166667,498.5
Christmas Sale,2022,After,3345,245606257.24,73424.8900568012,3286,7,35086608.17714286,477.85714285714283
Christmas Sale,2023,Before,3365,231344927.27,68750.34985735513,3289,7,33049275.324285716,480.7142857142857
Christmas Sale,2023,During,2925,199640155.08,68253.04447179487,2876,6,33273359.180000003,487.5
Christmas Sale,2023,After,3243,228791804.94,70549.43106382979,3198,7,32684543.562857144,463.2857142857143
Christmas Sale,2024,Before,3194,204335020.43,63974.64634627427,3124,7,29190717.204285715,456.2857142857143
Christmas Sale,2024,During,2759,178873643.75,64832.781351939106,2716,6,29812273.958333332,459.8333333333333
Christmas Sale,2024,After,3076,196260085.46,63803.66887516255,3027,7,28037155.06571429,439.42857142857144
Christmas Sale,2025,Before,2066,116420448.46000001,56350.65269119071,2028,7,16631492.637142858,295.14285714285717
Christmas Sale,2025,During,1803,100914365.56,55970.25266777593,1769,6,16819060.926666666,300.5
Christmas Sale,2025,After,1757,98965910.13000001,56326.64207740467,1723,6,16494318.355000002,292.8333333333333
